tag,feature,median_AP,is_interaction
af3,af3_ipSAE_d0chn*input_dSAP_dSASA_ratio,0.3779239379603703,True
af3,af3_sap_delta*af3_LIS,0.3974735085893709,True
af3,af3_LIS*input_rosetta_interface_sc,0.5752244668911336,True
af3,af3_sap_delta*af3_ipSAE_avg,0.46899861781154684,True
af3,af3_rosetta_interface_sc*af3_ipSAE_d0dom,0.4644585266552544,True
af3,af3_ipSAE_max*af3_dSAP_dSASA_ratio,0.3924919702350906,True
af3,af3_ipSAE_min*input_rosetta_interface_dG,0.5151126651126651,True
af3,af3_ipSAE_max*input_pymol_percent_nonpolar,0.43198557977492463,True
af3,af3_ipSAE_min*input_rosetta_interface_binder_hydrophobicity_percent,0.40233597507772917,True
af3,af3_ipSAE_d0dom*input_rosetta_interface_dG_SASA_ratio,0.5059841359048168,True
af3,af3_ipSAE_d0chn*input_rosetta_interface_dG_SASA_ratio,0.5048069281796215,True
af2,af2_binder_aligned_rmsd,0.1558780000200908,False
af2,af2_pae_binder,0.14042701986016945,False
af2,af2_pae_interaction,0.38316641610064844,False
af2,af2_pae_target,0.1529088134617987,False
af2,af2_plddt_binder,0.125,False
af2,af2_plddt_target,0.1512820512820513,False
af2,af2_plddt_total,0.1599278175864033,False
af2,af2_target_aligned_rmsd,0.2942455997462547,False
af2,af2_time,0.11125541125541125,False
af2,af2_dockQ,0.26666666666666666,False
af2,af2_pymol_SASA_binder,0.2547204168269032,False
af2,af2_pymol_SASA_target,0.2867888439639965,False
af2,af2_pymol_delta_SASA,0.2762983901800497,False
af2,af2_pymol_nonpolar_count,0.22093352697010965,False
af2,af2_pymol_percent_nonpolar,0.13392857142857142,False
af2,af2_pymol_hbonds,0.1715686274509804,False
af2,af2_pymol_paratope_helix,0.10238095238095238,False
af2,af2_pymol_paratope_sheet,0.10594748049317505,False
af2,af2_pymol_paratope_loop,0.08302427818130967,False
af2,af2_pymol_epitope_helix,0.11564135323451372,False
af2,af2_pymol_epitope_sheet,0.09183673469387756,False
af2,af2_pymol_epitope_loop,0.09634129592466958,False
af2,af2_rosetta_binder_score,0.1786855202503349,False
af2,af2_rosetta_surface_hydrophobicity,0.23176429157746675,False
af2,af2_rosetta_interface_sc,0.1270494004698331,False
af2,af2_rosetta_interface_packstat,0.17965367965367968,False
af2,af2_rosetta_interface_dG,0.36027786027786024,False
af2,af2_rosetta_interface_dSASA,0.2918879510183858,False
af2,af2_rosetta_interface_dG_SASA_ratio,0.22695457734023583,False
af2,af2_rosetta_interface_percent_of_binder_in_intf,0.27563368222665574,False
af2,af2_rosetta_interface_binder_hydrophobicity_percent,0.19444444444444442,False
af2,af2_rosetta_interface_interface_hbonds,0.2005202261084614,False
af2,af2_rosetta_interface_hbond_percentage,0.09430358559171019,False
af2,af2_rosetta_interface_unsat_hbonds,0.09090909090909091,False
af2,af2_rosetta_interface_delta_unsat_hbonds_percentage,0.09090909090909091,False
af2,af2_sap_binder,0.1000104866049384,False
af2,af2_sap_target,0.1439347736173573,False
af2,af2_sap_delta,0.28888888888888886,False
af2,RMSD_chA_aft_chB_align_input_af2,0.29009778404753656,False
af2,RMSD_complex_input_af2,0.24497872080221741,False
af2,af2_pymol_num_interface_residues,0.21021747096959184,False
af2,af2_rosetta_interface_nres_binder,0.22019344186617656,False
af2,af2_rosetta_interface_nres_target,0.24423460006622946,False
af2,af2_dSAP_dSASA_ratio,0.12496039523402708,False
af2,af2_dockQ*input_sap_delta,0.3138937086161566,True
af2,af2_rosetta_interface_dG*input_dSAP_dSASA_ratio,0.36057602717958714,True
af2,af2_dockQ*af2_sap_delta,0.3183537311101098,True
af2,af2_dockQ*af2_dSAP_dSASA_ratio,0.3251251487367371,True
af2,af2_dockQ*input_dSAP_dSASA_ratio,0.325,True
af2,af2_rosetta_interface_dG_SASA_ratio*af2_sap_delta,0.3515143833819727,True
af2,af2_rosetta_interface_dG*af2_dSAP_dSASA_ratio,0.35158984280247496,True
af2,af2_plddt_binder*af2_sap_delta,0.31672334136350355,True
af2,af2_rosetta_interface_sc*af2_sap_delta,0.38867370077422425,True
af2,af2_dockQ*input_rosetta_interface_dG_SASA_ratio,0.38030934675269423,True
af2,af2_pymol_delta_SASA*input_dSAP_dSASA_ratio,0.300809181072339,True
af2,af2_rosetta_interface_dG*input_rosetta_interface_dG_SASA_ratio,0.3766385503380407,True
af2,af2_pymol_delta_SASA*af2_dSAP_dSASA_ratio,0.3077894533661837,True
af2,af2_rosetta_interface_nres_target*input_dSAP_dSASA_ratio,0.26573815267649326,True
af2,af2_dockQ*af2_rosetta_interface_dG_SASA_ratio,0.3541354024202923,True
af2,af2_dockQ*af2_pymol_percent_nonpolar,0.30820925097942903,True
af2,af2_rosetta_interface_dG*input_sap_delta,0.3486923522762248,True
af2,af2_plddt_binder*af2_rosetta_interface_dG_SASA_ratio,0.20591676841676843,True
af2,af2_rosetta_interface_sc*af2_rosetta_interface_dG,0.34008729262149645,True
af2,af2_rosetta_interface_dG*input_rosetta_interface_sc,0.38789112781271334,True
af2,af2_rosetta_interface_nres_target*af2_dSAP_dSASA_ratio,0.3090877376591662,True
af2,af2_dockQ*input_rosetta_interface_sc,0.376135212261236,True
af2,af2_plddt_total*af2_sap_delta,0.30254628199877015,True
af2,af2_rosetta_interface_dG*af2_sap_delta,0.3409580342017323,True
af2,af2_sap_delta*input_rosetta_interface_sc,0.33730158730158727,True
af2,af2_pae_interaction*af2_rosetta_surface_hydrophobicity,0.30563461567369704,True
af2,af2_dockQ*input_pymol_percent_nonpolar,0.26785714285714285,True
af2,af2_rosetta_interface_nres_binder*input_dSAP_dSASA_ratio,0.33838383838383834,True
af2,af2_sap_delta*input_pymol_SASA_binder,0.215893652782859,True
af2,af2_rosetta_interface_dSASA*input_dSAP_dSASA_ratio,0.24141728136110063,True
af2,af2_rosetta_interface_dG*input_pymol_percent_nonpolar,0.2997953025817501,True
